trial,cue,state,correct_action,action,reward,p_action1,rho_tha,rho_bg,rho_cb,rho_sum,x_mix,w_actor,v_bg_state,z_bias_tha,z_bias_bg,z_bias_cb,x_tha,x_bg,x_cb,x_bb,cue_strength,bg_confidence,trial_uncertainty,logit_tha,logit_bg,logit_cb,rpe,value_before,e_mix,e_tha,e_cb,delta_z_tha_mismatch,delta_z_cb_mismatch,rolling_accuracy,rolling_abs_rpe,rolling_mismatch
1,-1.0,0,0,0,1.0,0.3872736404212241,0.34690779381299647,0.22303928870837023,0.4300529174786334,1.0,-0.5734836455596569,0.2533028237931016,0.1,-0.004028614197772181,-0.19784799191409608,0.002678315967809584,-0.302138852829521,-0.2611227254221897,-0.9543678907282696,-1.057359130887991,0.302138852829521,0.0,0.6522290378987485,0.24171108226361682,-0.2,0.4565603265291239,1.0,0.0,0.2341354853017309,0.5703576683907128,0.010607195549637431,-0.004034666197067782,0.0026823394770251214,1.0,1.0,0.2341354853017309
2,-1.0,0,0,0,1.0,0.3242391758248275,0.467679139782934,0.23971412498025513,0.2926067352368109,1.0,-0.72478244774347,0.30406344231096866,0.19,-0.003841302143417168,-0.19572482332954755,0.0001280418334954689,-0.7368950210854528,-0.8849062622052027,-0.5742434045540441,-1.3553325286610391,0.7368950210854528,0.1,0.1626516165314087,0.5854874026705901,-0.08284799191409609,0.11653444753979567,0.9,0.1,0.397593404545153,0.38246495077630344,0.6101002197982327,0.00018154144522619498,-0.002550081783036956,1.0,0.95,0.31586444492344196
3,-1.0,0,0,0,1.0,0.2680814385158379,0.43701796443611035,0.2612532095030836,0.30172882606080603,1.0,-0.8257967777432722,0.34709986751744537,0.271,-0.004408112448280118,-0.19359984586062798,0.00021466717625667195,-0.6763758665389399,-0.9733004328642144,-0.9144983429677045,-0.9109904262772686,0.6763758665389399,0.19,0.2381224764287646,0.5372593910877348,0.022775176670452424,0.16681377533363068,0.81,0.19,0.0072579577505341,0.055043991641209794,1.230547950703897e-05,-0.0005734324066881083,8.694782725232474e-05,1.0,0.9033333333333333,0.21299561586580598
4,1.0,1,1,1,1.0,0.7806170372121577,0.5297493832861722,0.20687543073280945,0.26337518598101844,1.0,0.914193513099926,0.3952339030691145,0.1,-0.00445689608772824,-0.19219419247675082,-6.950417705142488e-05,0.938869339192456,0.7329314577503874,1.006938249208498,0.8328516400191801,0.938869339192456,0.0,0.06806891001604198,0.7466873589056847,-0.19359984586062798,0.04786290418748606,1.0,0.0,0.006616500316284178,0.011239752537995217,0.030306147499034285,-5.547902666053247e-05,-0.0002842757661930013,1.0,0.9275,0.16140083697842555
5,-1.0,0,0,0,1.0,0.0973671298683533,0.5607202487892131,0.2041809898887087,0.23509876132207821,1.0,-1.4085502335418747,0.4192290535745638,0.34390000000000004,-0.004520805406547616,-0.19061526790271313,0.0011250541304463641,-1.4176600170649212,-1.8015775722832994,-1.0454825989826646,-1.089731570180223,1.4176600170649212,0.271,0.3721774180822566,1.1296711175642087,0.11945580752324916,0.26045468848052816,0.729,0.271,0.10164534010771016,0.10753706627621028,0.0019579714520423564,-7.07007140220014e-05,0.0011962484238680138,1.0,0.8878,0.14944973760428246
6,1.0,1,1,1,1.0,0.7839661954906263,0.30536625981266385,0.23616704790544882,0.4584666922818873,1.0,0.7686317256860524,0.45509594774334144,0.19,-0.010358989163038021,-0.1889349147215475,0.0013822350887748344,0.23234757596289168,0.8763149049166639,1.0703589149858943,0.9552971741927969,0.23234757596289168,0.1,0.8380113390230026,0.18135725536376573,-0.07561526790271314,0.5877329914465482,0.9,0.1,0.03484398966622408,0.5226561215807813,0.013239204194337932,-0.005853745582974687,0.0002592574256626338,1.0,0.8898333333333334,0.1303487796146061
7,1.0,1,1,0,0.0,0.8988595648683912,0.5636224031385868,0.18497162148013507,0.2514059753812782,1.0,1.2000858404609107,0.5042850615614218,0.17099999999999999,-0.01104992208594834,-0.18757151357298513,0.0007138137751112699,1.442632734796754,0.7819184096211571,0.9639905939706886,1.1998135985551697,1.442632734796754,0.19,0.4786421408260654,1.1437471986743653,0.029565085278452474,0.33643173366702056,-0.19,0.19,7.411565524151556e-08,0.05896113292510911,0.05561248949125216,-0.0007075327057134464,-0.0006673489845071631,0.8571428571428571,0.7898571428571428,0.1117275359718988
8,1.0,1,1,1,1.0,0.8363813224185385,0.41983442495856227,0.2640082687710686,0.3161573062703692,1.0,0.8088411579828285,0.5306157305084752,0.2539,-0.013492450407057443,-0.18588598480823285,0.0012926535112206651,0.6050104900190927,1.0543825977695769,0.8744735518332327,1.2103660539358185,0.6050104900190927,0.17099999999999999,0.26946306181414004,0.47295846992932583,0.009078486427014837,0.18933795704500928,0.829,0.17099999999999999,0.16122224207005945,0.3664553587649372,0.11282377296873561,-0.002462797400338533,0.000580781629215886,0.875,0.79475,0.1179143742341689
9,-1.0,0,0,0,1.0,0.05336691277235179,0.5302108031917833,0.1983186208232138,0.2714705759850029,1.0,-1.3548979338308642,0.5420014358429658,0.40951000000000004,-0.015427280494164237,-0.1842556652924997,0.0035557189539853432,-1.5081140019190609,-1.7568754032561253,-0.761992307586328,-0.8990319602512586,1.5081140019190609,0.34390000000000004,0.7461216943327329,1.1929987511281912,0.20959901519176719,0.5235778395441336,0.6560999999999999,0.34390000000000004,0.20781378586768165,0.37098093348221833,0.018779866402524843,-0.00195800577137444,0.0022684070335818817,0.8888888888888888,0.7793444444444444,0.12790319774900363
10,1.0,1,1,1,1.0,0.9644499975477149,0.590872594726815,0.1574887691439996,0.25163863612918547,1.0,1.5224211342556841,0.5516927510908293,0.32851,-0.019409270424757125,-0.18292015310204823,0.005836403166688488,1.8067536061357776,1.308843163770974,0.9884485464055881,1.0767855346997948,1.8067536061357776,0.2539,0.8183050597301895,1.429975604414458,0.10772933470750029,0.576369260765118,0.7461,0.2539,0.19859108759153699,0.5328533853159682,0.007803423500890805,-0.004011147572693174,0.002289451969087754,0.9,0.7760199999999999,0.13497198673325697
11,-1.0,0,0,1,0.0,0.1123028742442321,0.37619678949774504,0.28874938638582687,0.3350538241164282,1.0000000000000002,-0.9368580384508847,0.6334289343957688,0.368559,-0.01995336652840183,-0.17965519287869694,0.003940778103125435,-0.7149735791996985,-0.7691006440304863,-1.3305621433306913,-0.9337179952074033,0.7149735791996985,0.40951000000000004,0.6155885641309928,0.5525695929350016,0.2880163468979518,0.43674839805838345,-0.40951000000000004,0.40951000000000004,9.859871570933084e-06,0.04784911953455181,0.15748527789969818,-0.0005740711159557705,-0.001889705016337527,0.8181818181818182,0.7427009090909091,0.12270270247310369
12,1.0,1,1,1,1.0,0.9493051773717813,0.529525968886895,0.20217801447381167,0.2682960166392934,1.0,1.1563675015711397,0.6428762903056163,0.39565900000000004,-0.021845565192266502,-0.17807681698442449,0.00315460882195953,1.4761478907066048,0.7989976500455961,0.7945295041614807,1.0654324027739177,1.4761478907066048,0.32851,0.6816183865451241,1.160964946036882,0.19813130712130309,0.48107364868471225,0.6714899999999999,0.32851,0.008269192193260517,0.16868721202778522,0.07338838047662032,-0.0019250162380142963,-0.0007814302594003177,0.8333333333333334,0.7367666666666667,0.11316657661645009
13,-1.0,0,0,0,1.0,0.07294382413070341,0.49779213228046426,0.268283121512203,0.23392474620733275,1.0,-0.988652322873133,0.6538051824034364,0.4317031,-0.0225373149187232,-0.1762944419388474,0.0032888241771394052,-1.1071891707428314,-0.7968516901408882,-0.9563776793399158,-0.7928641627824966,1.1071891707428314,0.368559,0.1508114914029156,0.8639057714019986,0.2457660330155755,0.10872265280400045,0.6314409999999999,0.368559,0.03833300363167666,0.09880021062926454,0.0267366700969734,-0.0007256064839710546,0.00013915600241643913,0.8461538461538461,0.7286646923076923,0.10741014792531368
14,1.0,1,1,1,1.0,0.9480407732638843,0.4565044752260466,0.2878344875851854,0.25566103718876804,1.0,1.1103988923131258,0.662173439214728,0.45609310000000003,-0.023670566870620625,-0.1745013277243372,0.00360009969012432,0.9530795090744727,1.3005636078870577,1.1772101640347121,1.3413034972554805,0.9530795090744727,0.39565900000000004,0.22413065496023943,0.7399262923408549,0.2787134080611526,0.160180282649307,0.604341,0.39565900000000004,0.05331693658358487,0.15071786499916728,0.02692662200750212,-0.001168811140986989,0.000316683774912993,0.8571428571428571,0.7197844285714285,0.10354634711519019
15,1.0,1,1,1,1.0,0.933267253199348,0.46542058846853096,0.2384651483064643,0.2961142632250046,0.9999999999999998,0.9959610502499978,0.6708493917185605,0.51048379,-0.02297369194088867,-0.17255485755478162,-0.002266598498643881,1.3029932766269146,1.0140526609927827,0.49881060395026144,1.239364935043787,1.3029932766269146,0.45609310000000003,0.8041826726766531,1.018724054430911,0.35000573727566275,0.5665279705637815,0.5439069,0.45609310000000003,0.05924545113270819,0.004048565852619162,0.548420717301379,0.0006623626233610684,-0.00587010319402405,0.8666666666666667,0.70805926,0.1005929540496914
16,-1.0,0,0,1,0.0,0.09697067852521483,0.3842561631281581,0.3002822708624638,0.3154615660093782,1.0,-0.8315377497739824,0.7486495053018893,0.38853279,-0.02352153524633856,-0.16902821623392372,-0.0022346575496555933,-0.7418298573592019,-0.47705366571438046,-1.2782358945598538,-1.0575530453820678,0.7418298573592019,0.4317031,0.5364060372006518,0.5704901939464728,0.32390370744521835,0.3732176275418124,-0.4317031,0.4317031,0.05108291384881024,0.09968113145532194,0.048700919921225404,-0.0005831786112781405,2.8583927131018012e-05,0.8125,0.6907869999999999,0.09749857653713632
